id,name,author,description,category,tags,total_chapter,created_at,cover
1,ABAQUS 6.14中文版有限元分析与实例详解,曹岩、沈冰、程文,ABAQUS 6.14中文版有限元分析与实例详解 是一本由 曹岩、沈冰、程文 创作的书籍。,综合,"",14,2025-06-07 13:48:32,cover.jpg
2,Akka入门与实践,[加]（贾森·古德温）,Akka入门与实践 是一本由 [加]（贾森·古德温） 创作的书籍。,综合,"",12,2025-06-07 13:48:32,cover.jpg
3,Altium Designer 16电路设计与仿真从入门到精通,CAD/CAM/CAE技术联盟,Altium Designer 16电路设计与仿真从入门到精通 是一本由 CAD/CAM/CAE技术联盟 创作的书籍。,技术,"",22,2025-06-07 13:48:32,cover.jpg
4,Altium Designer17电子设计速成实战宝典,郑振宇,Altium Designer17电子设计速成实战宝典 是一本由 郑振宇 创作的书籍。,综合,"",17,2025-06-07 13:48:32,cover.jpg
5,Apache Kafka源码剖析,徐郡明,Apache Kafka源码剖析 是一本由 徐郡明 创作的书籍。,综合,"",8,2025-06-07 13:48:32,cover.jpg
6,Apache Kylin权威指南（第2版）,李扬,Apache Kylin权威指南（第2版） 是一本由 李扬 创作的书籍。,综合,"",291,2025-06-07 13:48:32,cover.jpg
7,Ceph源码分析,常涛,Ceph源码分析 是一本由 常涛 创作的书籍。,综合,"",230,2025-06-07 13:48:32,cover.jpg
8,DevOps：软件架构师行动指南,"Len Bass,Ingo Weber,Liming Zhu","DevOps：软件架构师行动指南 是一本由 Len Bass,Ingo Weber,Liming Zhu 创作的书籍。",综合,"",147,2025-06-07 13:48:32,cover.jpg
9,Effective Debugging：软件和系统调试的66个有效方法,Diomidis Spinellis,Effective Debugging：软件和系统调试的66个有效方法 是一本由 Diomidis Spinellis 创作的书籍。,综合,"",77,2025-06-07 13:48:32,cover.jpg
10,Effective STL中文版：50条有效使用STL的经验,斯考特.梅耶,Effective STL中文版：50条有效使用STL的经验 是一本由 斯考特.梅耶 创作的书籍。,综合,"",14,2025-06-07 13:48:32,cover.jpg
11,Elasticsearch源码解析与优化实战,张超,Elasticsearch源码解析与优化实战 是一本由 张超 创作的书籍。,综合,"",25,2025-06-07 13:48:32,cover.jpg
12,FFmpeg从入门到精通,刘歧,FFmpeg从入门到精通 是一本由 刘歧 创作的书籍。,综合,"",77,2025-06-07 13:48:32,cover.jpg
13,GDAL源码剖析与开发指南,李民录,GDAL源码剖析与开发指南 是一本由 李民录 创作的书籍。,综合,"",13,2025-06-07 13:48:32,cover.jpg
14,Git学习指南,[德] 普莱贝尔、斯拉赫曼,Git学习指南 是一本由 [德] 普莱贝尔、斯拉赫曼 创作的书籍。,综合,"",29,2025-06-07 13:48:32,cover.jpg
15,HFSS电磁仿真设计从入门到精通,易迪拓培训 李明洋 刘敏,HFSS电磁仿真设计从入门到精通 是一本由 易迪拓培训 李明洋 刘敏 创作的书籍。,综合,"",5,2025-06-07 13:48:32,cover.jpg
16,Hyperledger Fabric菜鸟进阶攻略,黎跃春 付金亮,Hyperledger Fabric菜鸟进阶攻略 是一本由 黎跃春 付金亮 创作的书籍。,综合,"",159,2025-06-07 13:48:32,cover.jpg
17,IPFS原理与实践,董天一 戴嘉乐 黄禹铭,IPFS原理与实践 是一本由 董天一 戴嘉乐 黄禹铭 创作的书籍。,综合,"",154,2025-06-07 13:48:32,cover.jpg
18,JVM G1源码分析和调优,彭成寒,JVM G1源码分析和调优 是一本由 彭成寒 创作的书籍。,综合,"",136,2025-06-07 13:48:32,cover.jpg
19,LabVIEW 虚拟仪器程序设计从入门到精通（第二版）,林静、林振宇、郑福仁,LabVIEW 虚拟仪器程序设计从入门到精通（第二版） 是一本由 林静、林振宇、郑福仁 创作的书籍。,综合,"",9,2025-06-07 13:48:32,cover.jpg
20,LLVM Cookbook中文版,"（印）马尤尔·潘迪, （印）苏尤葛·撒达","LLVM Cookbook中文版 是一本由 （印）马尤尔·潘迪, （印）苏尤葛·撒达 创作的书籍。",综合,"",104,2025-06-07 13:48:32,cover.jpg
21,Netty进阶之路：跟着案例学Netty,李林锋,Netty进阶之路：跟着案例学Netty 是一本由 李林锋 创作的书籍。,综合,"",22,2025-06-07 13:48:32,cover.jpg
22,Nmap渗透测试指南,商广明,Nmap渗透测试指南 是一本由 商广明 创作的书籍。,综合,"",15,2025-06-07 13:48:32,cover.jpg
23,OpenCV编程案例详解,李立宗,OpenCV编程案例详解 是一本由 李立宗 创作的书籍。,综合,"",18,2025-06-07 13:48:32,cover.jpg
24,PyQt5快速开发与实战,王硕,PyQt5快速开发与实战 是一本由 王硕 创作的书籍。,综合,"",17,2025-06-07 13:48:32,cover.jpg
25,Redis 4.x Cookbook中文版,黄鹏程、王左非,Redis 4.x Cookbook中文版 是一本由 黄鹏程、王左非 创作的书籍。,综合,"",18,2025-06-07 13:48:32,cover.jpg
26,Redis 5设计与源码分析,陈雷,Redis 5设计与源码分析 是一本由 陈雷 创作的书籍。,综合,"",301,2025-06-07 13:48:32,cover.jpg
27,Redis使用手册,黄健宏,Redis使用手册 是一本由 黄健宏 创作的书籍。,综合,"",633,2025-06-07 13:48:32,cover.jpg
28,Redis入门指南,李子骅,Redis入门指南 是一本由 李子骅 创作的书籍。,综合,"",9,2025-06-07 13:48:32,cover.jpg
29,Redis入门指南（第2版）,李子骅,Redis入门指南（第2版） 是一本由 李子骅 创作的书籍。,综合,"",15,2025-06-07 13:48:32,cover.jpg
30,Redis设计与实现,黄健宏,Redis设计与实现 是一本由 黄健宏 创作的书籍。,综合,"",176,2025-06-07 13:48:32,cover.jpg
31,Scala实用指南,[美] 文卡特·苏帕拉马尼亚姆（Venkat Subramaniam）,Scala实用指南 是一本由 [美] 文卡特·苏帕拉马尼亚姆（Venkat Subramaniam） 创作的书籍。,综合,"",23,2025-06-07 13:48:32,cover.jpg
32,Scala编程（第3版）,"（德）马丁.奥德斯基,（美）莱·斯彭，（美）比尔·凡纳斯","Scala编程（第3版） 是一本由 （德）马丁.奥德斯基,（美）莱·斯彭，（美）比尔·凡纳斯 创作的书籍。",综合,"",44,2025-06-07 13:48:32,cover.jpg
33,Scratch超人漫游记：创意程序设计：STEAM创新教育指南,创意科艺工程计划项目组,Scratch超人漫游记：创意程序设计：STEAM创新教育指南 是一本由 创意科艺工程计划项目组 创作的书籍。,综合,"",19,2025-06-07 13:48:32,cover.jpg
34,Selenium 3+Python 3自动化测试项目实战：从菜鸟到高手,田春成,Selenium 3+Python 3自动化测试项目实战：从菜鸟到高手 是一本由 田春成 创作的书籍。,综合,"",21,2025-06-07 13:48:32,cover.jpg
35,Selenium自动化测试指南,赵卓,Selenium自动化测试指南 是一本由 赵卓 创作的书籍。,综合,"",12,2025-06-07 13:48:32,cover.jpg
36,Servlet、JSP和Spring MVC初学指南,[加]克尼亚万、 [美] Paul Deck,Servlet、JSP和Spring MVC初学指南 是一本由 [加]克尼亚万、 [美] Paul Deck 创作的书籍。,综合,"",31,2025-06-07 13:48:32,cover.jpg
37,Spring MVC学习指南（第2版）,[美]Paul Deck,Spring MVC学习指南（第2版） 是一本由 [美]Paul Deck 创作的书籍。,综合,"",21,2025-06-07 13:48:32,cover.jpg
38,Spring学习指南 （第3版）,[印度] J. 夏尔马、阿西施·萨林,Spring学习指南 （第3版） 是一本由 [印度] J. 夏尔马、阿西施·萨林 创作的书籍。,综合,"",20,2025-06-07 13:48:32,cover.jpg
39,Spring源码深度解析,郝佳,Spring源码深度解析 是一本由 郝佳 创作的书籍。,综合,"",5,2025-06-07 13:48:32,cover.jpg
40,Spring源码深度解析（第2版）,郝佳,Spring源码深度解析（第2版） 是一本由 郝佳 创作的书籍。,综合,"",19,2025-06-07 13:48:32,cover.jpg
41,Token经济设计模式,范凯业（叶开）,Token经济设计模式 是一本由 范凯业（叶开） 创作的书籍。,综合,"",101,2025-06-07 13:48:32,cover.jpg
42,UML精粹：标准对象建模语言简明指南（第3版）,[美] 福勒,UML精粹：标准对象建模语言简明指南（第3版） 是一本由 [美] 福勒 创作的书籍。,综合,"",24,2025-06-07 13:48:32,cover.jpg
43,Verilog编程艺术,魏家明,Verilog编程艺术 是一本由 魏家明 创作的书籍。,综合,"",42,2025-06-07 13:48:32,cover.jpg
44,Vim实用技巧（第2版）,[英]尼尔,Vim实用技巧（第2版） 是一本由 [英]尼尔 创作的书籍。,综合,"",31,2025-06-07 13:48:32,cover.jpg
45,Vivado从此开始（进阶篇）,高亚军,Vivado从此开始（进阶篇） 是一本由 高亚军 创作的书籍。,综合,"",11,2025-06-07 13:48:32,cover.jpg
46,VR新秩序：虚拟现实的商业模式与产业趋势,甘开全,VR新秩序：虚拟现实的商业模式与产业趋势 是一本由 甘开全 创作的书籍。,综合,"",8,2025-06-07 13:48:32,cover.jpg
47,x86汇编语言：从实模式到保护模式,李忠、王晓波、 余洁,x86汇编语言：从实模式到保护模式 是一本由 李忠、王晓波、 余洁 创作的书籍。,综合,"",24,2025-06-07 13:48:32,cover.jpg
48,Xilinx FPGA权威设计指南：基于Vivado 2018集成开发环境,何宾,Xilinx FPGA权威设计指南：基于Vivado 2018集成开发环境 是一本由 何宾 创作的书籍。,综合,"",16,2025-06-07 13:48:32,cover.jpg
49,ZEMAX光学设计超级学习手册,林晓阳,ZEMAX光学设计超级学习手册 是一本由 林晓阳 创作的书籍。,综合,"",14,2025-06-07 13:48:32,cover.jpg
50,互联网轻量级SSM框架解密：Spring、Spring MVC、MyBatis源码深度剖析,李艳鹏,互联网轻量级SSM框架解密：Spring、Spring MVC、MyBatis源码深度剖析 是一本由 李艳鹏 创作的书籍。,综合,"",5,2025-06-07 13:48:32,cover.jpg
51,从实践中学习Metasploit 5渗透测试,李亚伟,从实践中学习Metasploit 5渗透测试 是一本由 李亚伟 创作的书籍。,综合,"",190,2025-06-07 13:48:32,cover.jpg
52,从零开始学Scrapy网络爬虫（视频教学版）,张涛,从零开始学Scrapy网络爬虫（视频教学版） 是一本由 张涛 创作的书籍。,综合,"",201,2025-06-07 13:48:32,cover.jpg
53,全程软件测试（第3版）,朱少民,全程软件测试（第3版） 是一本由 朱少民 创作的书籍。,综合,"",23,2025-06-07 13:48:32,cover.jpg
54,善用佳软：高效能人士的软件应用之道,张玉新、 陈勇、 吴放,善用佳软：高效能人士的软件应用之道 是一本由 张玉新、 陈勇、 吴放 创作的书籍。,综合,"",8,2025-06-07 13:48:32,cover.jpg
55,嵌入式软件测试：方法、案例与模板详解,李龙-测试,嵌入式软件测试：方法、案例与模板详解 是一本由 李龙-测试 创作的书籍。,综合,"",77,2025-06-07 13:48:32,cover.jpg
56,开发者测试,王兴亚 王智钢 赵源 陈振宇,开发者测试 是一本由 王兴亚 王智钢 赵源 陈振宇 创作的书籍。,综合,"",108,2025-06-07 13:48:32,cover.jpg
57,微服务实践,［印度］乌姆什 拉姆 夏尔玛,微服务实践 是一本由 ［印度］乌姆什 拉姆 夏尔玛 创作的书籍。,综合,"",12,2025-06-07 13:48:32,cover.jpg
58,手机测试Robotium实战教程,杨志伟,手机测试Robotium实战教程 是一本由 杨志伟 创作的书籍。,综合,"",17,2025-06-07 13:48:32,cover.jpg
